PetalWidth,SepalWidth,PetalLength,SepalLength,Name
0.2,3.5,1.4,5.1,Iris-setosa
0.2,3.0,1.4,4.9,Iris-setosa
0.2,3.2,1.3,4.7,Iris-setosa
0.2,3.1,1.5,4.6,Iris-setosa
0.2,3.6,1.4,5.0,Iris-setosa
0.4,3.9,1.7,5.4,Iris-setosa
0.3,3.4,1.4,4.6,Iris-setosa
0.2,3.4,1.5,5.0,Iris-setosa
0.2,2.9,1.4,4.4,Iris-setosa
0.1,3.1,1.5,4.9,Iris-setosa
0.2,3.7,1.5,5.4,Iris-setosa
0.2,3.4,1.6,4.8,Iris-setosa
0.1,3.0,1.4,4.8,Iris-setosa
0.1,3.0,1.1,4.3,Iris-setosa
0.2,4.0,1.2,5.8,Iris-setosa
0.4,4.4,1.5,5.7,Iris-setosa
0.4,3.9,1.3,5.4,Iris-setosa
0.3,3.5,1.4,5.1,Iris-setosa
0.3,3.8,1.7,5.7,Iris-setosa
0.3,3.8,1.5,5.1,Iris-setosa
0.2,3.4,1.7,5.4,Iris-setosa
0.4,3.7,1.5,5.1,Iris-setosa
0.2,3.6,1.0,4.6,Iris-setosa
0.5,3.3,1.7,5.1,Iris-setosa
0.2,3.4,1.9,4.8,Iris-setosa
0.2,3.0,1.6,5.0,Iris-setosa
0.4,3.4,1.6,5.0,Iris-setosa
0.2,3.5,1.5,5.2,Iris-setosa
0.2,3.4,1.4,5.2,Iris-setosa
0.2,3.2,1.6,4.7,Iris-setosa
0.2,3.1,1.6,4.8,Iris-setosa
0.4,3.4,1.5,5.4,Iris-setosa
0.1,4.1,1.5,5.2,Iris-setosa
0.2,4.2,1.4,5.5,Iris-setosa
0.1,3.1,1.5,4.9,Iris-setosa
0.2,3.2,1.2,5.0,Iris-setosa
0.2,3.5,1.3,5.5,Iris-setosa
0.1,3.1,1.5,4.9,Iris-setosa
0.2,3.0,1.3,4.4,Iris-setosa
0.2,3.4,1.5,5.1,Iris-setosa
0.3,3.5,1.3,5.0,Iris-setosa
0.3,2.3,1.3,4.5,Iris-setosa
0.2,3.2,1.3,4.4,Iris-setosa
0.6,3.5,1.6,5.0,Iris-setosa
0.4,3.8,1.9,5.1,Iris-setosa
0.3,3.0,1.4,4.8,Iris-setosa
0.2,3.8,1.6,5.1,Iris-setosa
0.2,3.2,1.4,4.6,Iris-setosa
0.2,3.7,1.5,5.3,Iris-setosa
0.2,3.3,1.4,5.0,Iris-setosa
1.4,3.2,4.7,7.0,Iris-versicolor
1.5,3.2,4.5,6.4,Iris-versicolor
1.5,3.1,4.9,6.9,Iris-versicolor
1.3,2.3,4.0,5.5,Iris-versicolor
1.5,2.8,4.6,6.5,Iris-versicolor
1.3,2.8,4.5,5.7,Iris-versicolor
1.6,3.3,4.7,6.3,Iris-versicolor
1.0,2.4,3.3,4.9,Iris-versicolor
1.3,2.9,4.6,6.6,Iris-versicolor
1.4,2.7,3.9,5.2,Iris-versicolor
1.0,2.0,3.5,5.0,Iris-versicolor
1.5,3.0,4.2,5.9,Iris-versicolor
1.0,2.2,4.0,6.0,Iris-versicolor
1.4,2.9,4.7,6.1,Iris-versicolor
1.3,2.9,3.6,5.6,Iris-versicolor
1.4,3.1,4.4,6.7,Iris-versicolor
1.5,3.0,4.5,5.6,Iris-versicolor
1.0,2.7,4.1,5.8,Iris-versicolor
1.5,2.2,4.5,6.2,Iris-versicolor
1.1,2.5,3.9,5.6,Iris-versicolor
1.8,3.2,4.8,5.9,Iris-versicolor
1.3,2.8,4.0,6.1,Iris-versicolor
1.5,2.5,4.9,6.3,Iris-versicolor
1.2,2.8,4.7,6.1,Iris-versicolor
1.3,2.9,4.3,6.4,Iris-versicolor
1.4,3.0,4.4,6.6,Iris-versicolor
1.4,2.8,4.8,6.8,Iris-versicolor
1.7,3.0,5.0,6.7,Iris-versicolor
1.5,2.9,4.5,6.0,Iris-versicolor
1.0,2.6,3.5,5.7,Iris-versicolor
1.1,2.4,3.8,5.5,Iris-versicolor
1.0,2.4,3.7,5.5,Iris-versicolor
1.2,2.7,3.9,5.8,Iris-versicolor
1.6,2.7,5.1,6.0,Iris-versicolor
1.5,3.0,4.5,5.4,Iris-versicolor
1.6,3.4,4.5,6.0,Iris-versicolor
1.5,3.1,4.7,6.7,Iris-versicolor
1.3,2.3,4.4,6.3,Iris-versicolor
1.3,3.0,4.1,5.6,Iris-versicolor
1.3,2.5,4.0,5.5,Iris-versicolor
1.2,2.6,4.4,5.5,Iris-versicolor
1.4,3.0,4.6,6.1,Iris-versicolor
1.2,2.6,4.0,5.8,Iris-versicolor
1.0,2.3,3.3,5.0,Iris-versicolor
1.3,2.7,4.2,5.6,Iris-versicolor
1.2,3.0,4.2,5.7,Iris-versicolor
1.3,2.9,4.2,5.7,Iris-versicolor
1.3,2.9,4.3,6.2,Iris-versicolor
1.1,2.5,3.0,5.1,Iris-versicolor
1.3,2.8,4.1,5.7,Iris-versicolor
2.5,3.3,6.0,6.3,Iris-virginica
1.9,2.7,5.1,5.8,Iris-virginica
2.1,3.0,5.9,7.1,Iris-virginica
1.8,2.9,5.6,6.3,Iris-virginica
2.2,3.0,5.8,6.5,Iris-virginica
2.1,3.0,6.6,7.6,Iris-virginica
1.7,2.5,4.5,4.9,Iris-virginica
1.8,2.9,6.3,7.3,Iris-virginica
1.8,2.5,5.8,6.7,Iris-virginica
2.5,3.6,6.1,7.2,Iris-virginica
2.0,3.2,5.1,6.5,Iris-virginica
1.9,2.7,5.3,6.4,Iris-virginica
2.1,3.0,5.5,6.8,Iris-virginica
2.0,2.5,5.0,5.7,Iris-virginica
2.4,2.8,5.1,5.8,Iris-virginica
2.3,3.2,5.3,6.4,Iris-virginica
1.8,3.0,5.5,6.5,Iris-virginica
2.2,3.8,6.7,7.7,Iris-virginica
2.3,2.6,6.9,7.7,Iris-virginica
1.5,2.2,5.0,6.0,Iris-virginica
2.3,3.2,5.7,6.9,Iris-virginica
2.0,2.8,4.9,5.6,Iris-virginica
2.0,2.8,6.7,7.7,Iris-virginica
1.8,2.7,4.9,6.3,Iris-virginica
2.1,3.3,5.7,6.7,Iris-virginica
1.8,3.2,6.0,7.2,Iris-virginica
1.8,2.8,4.8,6.2,Iris-virginica
1.8,3.0,4.9,6.1,Iris-virginica
2.1,2.8,5.6,6.4,Iris-virginica
1.6,3.0,5.8,7.2,Iris-virginica
1.9,2.8,6.1,7.4,Iris-virginica
2.0,3.8,6.4,7.9,Iris-virginica
2.2,2.8,5.6,6.4,Iris-virginica
1.5,2.8,5.1,6.3,Iris-virginica
1.4,2.6,5.6,6.1,Iris-virginica
2.3,3.0,6.1,7.7,Iris-virginica
2.4,3.4,5.6,6.3,Iris-virginica
1.8,3.1,5.5,6.4,Iris-virginica
1.8,3.0,4.8,6.0,Iris-virginica
2.1,3.1,5.4,6.9,Iris-virginica
2.4,3.1,5.6,6.7,Iris-virginica
2.3,3.1,5.1,6.9,Iris-virginica
1.9,2.7,5.1,5.8,Iris-virginica
2.3,3.2,5.9,6.8,Iris-virginica
2.5,3.3,5.7,6.7,Iris-virginica
2.3,3.0,5.2,6.7,Iris-virginica
1.9,2.5,5.0,6.3,Iris-virginica
2.0,3.0,5.2,6.5,Iris-virginica
2.3,3.4,5.4,6.2,Iris-virginica
1.8,3.0,5.1,5.9,Iris-virginica
