Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2010,AL,15.60%,6.30%,23.90%,54.20%
2010,AK,13.50%,6.80%,26.10%,53.60%
2010,AZ,10.70%,4.40%,27.90%,57.10%
2100,Arkansas,17.30%,5.60%,24.10%,53%
2010,California,7.50%,4.60%,23.10%,64.80%
2010,Colorado,11.40%,4.60%,24.70%,59.30%
2010,Connecticut,9.20%,4%,105.00%,57.60%
2010,Delaware,12.80%,4.50%,26.80%,56%
2010,District of Columbia,10%,5.70%,23.40%,61%
2010,Florida,12%,5.20%,29.80%,53%
2001,Georgia,12.80%,4.80%,23.10%,59.30%
2010,Guam,19.70%,6.10%,16.60%,57.60%
2010,Hawaii,10.70%,3.80%,25.30%,60.20%
2010,Idaho,11.30%,4.40%,22.90%,61.50%
2010,Illinois,11.50%,5.40%,twenty-three point 6 percent,59.50%
2010,Indiana,16.30%,5%,25.10%,53.70%
2010,Iowa,12.10%,4.10%,23.40%,60.40%
2010,Kansas,11.90%,5.10%,24.20%,58.80%
2010,Kentucky,19.30%,5.50%,26%,49.20%
2010,Louisiana,15.90%,6.20%,22%,56%
2010,Maine,13.90%,4.30%,30.20%,51.60%
2010,Maryland,10.50%,4.70%,23.90%,60.90%
2010,Massachusetts,10.20%,3.90%,29.30%,56.60%
2010,Michigan,13.50%,5.40%,25.30%,55.70%
2010,Minnesota,11.30%,3.60%,25.90%,59.20%
2010,Mississippi,17.10%,5.80%,22%,55%
2010,Missouri,16.60%,4.40%,26.10%,52.80%
2010,Montana,13.50%,5.30%,27.20%,54%
2010,Nationwide (States and DC),12.40%,4.80%,25.10%,56.60%
2010,"Nationwide (States, DC, and Territories)",12.30%,4.80%,24.70%,56.80%
2010,Nebraska,12.50%,4.70%,25.20%,57.60%
2010,Nevada,16.50%,4.90%,25.80%,52.80%
2010,New Hampshire,12.40%,4.50%,30.70%,52.40%
2010,New Jersey,10.20%,4.20%,26.10%,59.40%
2010,New Mexico,11.40%,7.10%,24.70%,56.90%
2010,New York,10.50%,5%,26.80%,57.80%
2010,North Carolina,14.30%,5.40%,24.50%,55.80%
2010,North Dakota,12.20%,5.10%,24.10%,58.60%
2010,Ohio,17.10%,5.40%,24.60%,52.90%
2010,Oklahoma,17.50%,6.20%,24.30%,52%
2010,Oregon,11%,4.10%,28.20%,56.70%
2010,Pennsylvania,13.40%,5%,26.20%,55.40%
2010,Puerto Rico,7.50%,4.40%,17.30%,70.80%
2010,Rhode Island,10.90%,4.80%,28.40%,55.90%
2010,South Carolina,14%,7%,24.10%,54.90%
2010,South Dakota,11.30%,4.10%,27%,57.60%
2010,Tennessee,15.70%,4.40%,22.90%,57%
2010,Texas,10.50%,5.30%,21.30%,62.90%
2010,Utah,6.40%,2.70%,14.30%,76.60%
2010,Vermont,11.10%,4.20%,30.70%,54%
2010,Virginia,14.50%,4%,24.40%,57%
2010,Virgin Islands,3.60%,2.20%,10.50%,83.70%
2010,Washington,11%,4.20%,25.50%,59.30%
2010,West Virginia,23.20%,3.60%,24.40%,48.80%
2010,Wisconsin,13.60%,5.50%,26.30%,54.60%
2010,Wyoming,14.90%,4.60%,24.60%,55.90%
2009,Alabama,16.50%,6%,22.80%,54.60%
2009,Alaska,14.70%,5.90%,28.10%,51.30%
2009,Arizona,11%,5.10%,26%,57.80%
2009,Arkansas,15.50%,5.90%,28.10%,50.40%
2009,California,8.10%,4.70%,23.20%,63.90%
2009,Colorado,12.10%,5%,25.50%,57.40%
2009,Connecticut,10.70%,4.70%,28.20%,56.30%
2009,Delaware,13.30%,5%,28.40%,53.40%
2009,District of Columbia,9.10%,6.20%,24.20%,60.60%
2009,Florida,12.80%,4.30%,27.60%,55.30%
2009,Georgia,12.60%,5.10%,22%,60.30%
2009,Guam,18.90%,5.20%,11.10%,64.80%
2009,Hawaii,10.40%,5%,26.90%,57.70%
2009,Idaho,12.30%,4%,22.10%,61.60%
2009,Illinois,12%,6.60%,23.10%,58.30%
2009,Indiana,17.10%,6%,23.70%,53.20%
2009,Iowa,13.40%,3.80%,24.20%,58.70%
2009,Kansas,13.20%,4.60%,23.30%,58.80%
2009,Kentucky,20.60%,5%,25.30%,49.10%
2009,Louisiana,16.40%,5.70%,23.20%,54.70%
2009,Maine,12.50%,4.70%,31.10%,51.60%
2009,Maryland,10.40%,4.80%,23.40%,61.50%
2009,Massachusetts,10.90%,4%,28.50%,56.60%
2009,Michigan,13.70%,5.90%,25.50%,54.90%
2009,Minnesota,11.30%,5.50%,26.40%,56.80%
2009,Mississippi,17.10%,6.30%,22.10%,54.60%
2009,Missouri,18.30%,4.80%,24.80%,52.10%
2009,Montana,12.20%,4.60%,26.40%,56.80%
2009,Nationwide (States and DC),12.80%,5%,25.50%,55.30%
2009,"Nationwide (States, DC, and Territories)",12.70%,5%,25.50%,55.50%
2009,Nebraska,12.90%,3.80%,24.60%,58.70%
2009,Nevada,15.80%,6.30%,26.50%,51.40%
2009,New Hampshire,11.30%,4.50%,29.40%,54.90%
2009,New Jersey,10%,5.80%,25.40%,58.80%
2009,New Mexico,11.20%,6.70%,25.80%,56.20%
2009,New York,12.10%,5.90%,26.30%,55.70%
2009,North Carolina,14.40%,5.90%,26.20%,53.50%
2009,North Dakota,13.40%,5.20%,24%,57.40%
2009,Ohio,15.60%,4.70%,25.80%,53.80%
2009,Oklahoma,18.80%,6.70%,24.50%,50%
2009,Oregon,13.10%,4.70%,27.60%,54.50%
2009,Pennsylvania,15.10%,5.10%,26%,53.70%
2009,Puerto Rico,6.90%,3.70%,18%,71.50%
2009,Rhode Island,10.20%,4.90%,29.60%,55.40%
2009,South Carolina,14.60%,5.70%,24.50%,55.20%
2009,South Dakota,12.50%,5%,27.20%,55.30%
2009,Tennessee,17.60%,4.40%,24.70%,53.30%
2009,Texas,11.70%,6.20%,21.60%,60.50%
2009,Utah,6.90%,2.90%,15.10%,75.10%
2009,Vermont,12.50%,4.60%,31.60%,51.30%
2009,Virginia,13.80%,5.20%,24.40%,56.50%
2009,Virgin Islands,3.90%,2.60%,11.10%,82.50%
2009,Washington,10.70%,4.20%,26.70%,58.40%
2009,West Virginia,20.70%,4.90%,24.50%,49.90%
2009,Wisconsin,12.60%,6.10%,26.90%,54.30%
2009,Wyoming,15.30%,4.60%,26.10%,54%
2008,Alabama,17.30%,4.90%,21.90%,56%
2008,Alaska,15.10%,6.40%,28.40%,50%
2008,Arizona,10.70%,5.20%,27.40%,56.70%
2008,Arkansas,17%,5.40%,26.30%,51.40%
2008,California,8.90%,5.10%,23.30%,62.70%
2008,Colorado,12.30%,5.40%,24.90%,57.50%
2008,Connecticut,11.60%,4.30%,30.10%,54%
2008,Delaware,13.40%,4.40%,28.50%,53.70%
2008,District of Columbia,9.30%,7%,22.50%,61.20%
2008,Florida,12.80%,4.70%,26.10%,56.40%
2008,Georgia,14.50%,5%,21.40%,59.10%
2008,Guam,21.20%,6.20%,19.40%,53.20%
2008,Hawaii,11.80%,3.70%,25.40%,59.20%
2008,Idaho,12.50%,4.40%,21.90%,61.20%
2008,Illinois,15.10%,6.20%,23.40%,55.30%
2008,Indiana,19.70%,6.30%,23%,51%
2008,Iowa,14.10%,4.60%,24.70%,56.60%
2008,Kansas,13.20%,4.70%,23.20%,59%
2008,Kentucky,20.50%,4.70%,25.30%,49.50%
2008,Louisiana,16%,4.50%,19.90%,59.70%
2008,Maine,14%,4.10%,31.70%,50.10%
2008,Maryland,10.60%,4.30%,24.20%,60.90%
2008,Massachusetts,11.70%,4.40%,28.10%,55.80%
2008,Michigan,15%,5.50%,25.50%,54.10%
2008,Minnesota,12.10%,5.50%,27.10%,55.40%
2008,Mississippi,17.20%,5.50%,22.20%,55.10%
2008,Missouri,20.20%,4.80%,25%,50.10%
2008,Montana,13.80%,4.70%,26.80%,54.70%
2008,Nationwide (States and DC),13.40%,4.90%,25.20%,55.40%
2008,"Nationwide (States, DC, and Territories)",13.40%,4.90%,25.10%,55.50%
2008,Nebraska,13.40%,4.90%,25%,56.60%
2008,Nevada,16.40%,5.80%,25.10%,52.70%
2008,New Hampshire,12.80%,4.20%,31.10%,51.90%
2008,New Jersey,10.70%,4.10%,24.30%,60.90%
2008,New Mexico,12.80%,6.60%,24.90%,55.70%
2008,New York,11.80%,5%,25.40%,57.80%
2008,North Carolina,15.50%,5.40%,24.80%,54.30%
2008,North Dakota,13.30%,4.80%,25.40%,56.50%
2008,Ohio,15.50%,4.60%,25.40%,54.40%
2008,Oklahoma,18.50%,6.20%,24.70%,50.60%
2008,Oregon,11.80%,4.50%,24.70%,59%
2008,Pennsylvania,15.60%,5.70%,25.30%,53.30%
2008,Puerto Rico,7.50%,4.10%,18.30%,70.10%
2008,Rhode Island,13.40%,4%,28.10%,54.50%
2008,South Carolina,14.40%,5.60%,25.20%,54.70%
2008,South Dakota,12%,5.60%,26.10%,56.40%
2008,Tennessee,18%,5.10%,21.80%,55%
2008,Texas,11.70%,6.80%,21.50%,60%
2008,Utah,6.80%,2.50%,16.10%,74.50%
2008,Vermont,12.20%,4.60%,32.20%,51.10%
2008,Virginia,12.40%,4.10%,24%,59.50%
2008,Virgin Islands,4.10%,2.30%,11.50%,82.10%
2008,Washington,11.70%,4%,26.70%,57.60%
2008,West Virginia,21.50%,5.10%,25.40%,48.10%
2008,Wisconsin,14.10%,5.70%,26.70%,53.50%
2008,Wyoming,14.90%,4.50%,25.40%,55.20%
2007,Alabama,16.50%,6%,23.20%,54.30%
2007,Alaska,15.60%,6.70%,27.10%,50.70%
2007,Arizona,13.60%,6.10%,24%,56.20%
2007,Arkansas,17.30%,5.10%,23.70%,53.90%
2007,California,8.80%,5.50%,22.90%,62.80%
2007,Colorado,13.40%,5.30%,24.60%,56.70%
2007,Connecticut,11.30%,4.10%,30.50%,54.10%
2007,Delaware,15.10%,3.80%,26.10%,54.90%
2007,District of Columbia,11.10%,6.10%,22.40%,60.40%
2007,Florida,14.30%,5%,26.20%,54.50%
2007,Georgia,14.70%,4.70%,22.70%,57.90%
2007,Guam,23.30%,7.60%,14.10%,54.90%
2007,Hawaii,12.90%,4.10%,26%,57%
2007,Idaho,14.50%,4.60%,22.60%,58.30%
2007,Illinois,13.70%,6.40%,23.50%,56.40%
2007,Indiana,18.20%,5.90%,22.80%,53%
2007,Iowa,14.50%,5.30%,23.50%,56.70%
2007,Kansas,13.70%,4.20%,23.30%,58.80%
2007,Kentucky,23.50%,4.70%,23.90%,47.90%
2007,Louisiana,16.90%,5.70%,20.20%,57.10%
2007,Maine,16.20%,4%,30.80%,49.10%
2007,Maryland,11.50%,5.60%,23.70%,59.30%
2007,Massachusetts,12%,4.40%,28.50%,55.10%
2007,Michigan,15.80%,5.40%,24.80%,54.10%
2007,Minnesota,12.40%,4.10%,27.60%,55.90%
2007,Mississippi,18.50%,5.40%,21.20%,54.80%
2007,Missouri,19.80%,4.70%,23.40%,52.10%
2007,Montana,14.80%,4.60%,26.60%,53.90%
2007,Nationwide (States and DC),14.50%,5.20%,24.60%,54.80%
2007,"Nationwide (States, DC, and Territories)",14.50%,5.20%,24.40%,54.90%
2007,Nebraska,14.50%,5.50%,23.80%,56.20%
2007,Nevada,16.10%,5.30%,25.40%,53.10%
2007,New Hampshire,15.10%,4.20%,30.30%,50.40%
2007,New Jersey,12%,5.10%,24.70%,58.20%
2007,New Mexico,13.10%,7.60%,24.80%,54.40%
2007,New York,12.80%,6.10%,25.50%,55.60%
2007,North Carolina,17.60%,5.30%,24.80%,52.30%
2007,North Dakota,15.10%,5.90%,25.30%,53.80%
2007,Ohio,17.70%,5.40%,24.80%,52.10%
2007,Oklahoma,20%,5.80%,23.20%,51%
2007,Oregon,13.10%,3.80%,28.20%,54.90%
2007,Pennsylvania,15.10%,5.80%,23.90%,55.10%
2007,Puerto Rico,7.50%,4.70%,19.20%,68.60%
2007,Rhode Island,11.80%,5.20%,28.40%,54.60%
2007,South Carolina,16.20%,5.70%,25%,53.10%
2007,South Dakota,14.20%,5.60%,24.30%,55.90%
2007,Tennessee,20%,4.30%,24%,51.80%
2007,Texas,13%,6.40%,20.70%,60%
2007,Utah,8.30%,3.40%,15.80%,72.50%
2007,Vermont,13.80%,3.80%,30.70%,51.70%
2007,Virginia,14.10%,4.40%,23.50%,58%
2007,Virgin Islands,5.60%,3%,11.90%,79.50%
2007,Washington,12.20%,4.60%,26.20%,57%
2007,West Virginia,21.70%,5.20%,24.50%,48.60%
2007,Wisconsin,14.60%,5%,25.90%,54.50%
2007,Wyoming,17.50%,4.60%,24.80%,53.10%
2006,Alabama,17.60%,5.50%,23.40%,53.50%
2006,Alaska,16.20%,7.70%,27.60%,48.50%
2006,Arizona,12.10%,6.10%,24.90%,56.90%
2006,Arkansas,18.80%,4.80%,25.10%,51.20%
2006,California,9.40%,5.50%,24.20%,60.80%
2006,Colorado,12.30%,5.60%,24.50%,57.60%
2006,Connecticut,11.90%,5.10%,28.20%,54.80%
2006,Delaware,16.70%,5.10%,27.30%,50.90%
2006,District of Columbia,10.60%,7.30%,22.10%,60%
2006,Florida,16%,5.10%,26.10%,52.90%
2006,Georgia,14.10%,5.80%,21.20%,58.80%
2006,Hawaii,13%,4.60%,25.10%,57.30%
2006,Idaho,12.90%,3.90%,23%,60.20%
2006,Illinois,14.10%,6.40%,23.70%,55.80%
2006,Indiana,18.60%,5.50%,23.30%,52.70%
2006,Iowa,17.10%,4.30%,23.70%,54.80%
2006,Kansas,15.20%,4.80%,24.10%,55.90%
2006,Kentucky,24.30%,4.30%,24.30%,47.20%
2006,Louisiana,17.70%,5.70%,20.10%,56.40%
2006,Maine,15.90%,5%,30.40%,48.70%
2006,Maryland,13%,4.70%,22.60%,59.70%
2006,Massachusetts,13%,4.70%,27.70%,54.50%
2006,Michigan,16.50%,5.80%,25.40%,52.20%
2006,Minnesota,13.80%,4.50%,27.60%,54.10%
2006,Mississippi,17.90%,7.20%,21.10%,53.80%
2006,Missouri,18.60%,4.60%,26.80%,50%
2006,Montana,13.30%,5.60%,26.80%,54.30%
2006,Nationwide (States and DC),14.90%,5.10%,24.70%,54.30%
2006,"Nationwide (States, DC, and Territories)",14.70%,5.10%,24.50%,54.50%
2006,Nebraska,13.80%,4.80%,23.80%,57.50%
2006,Nevada,15.60%,6.50%,25.60%,52.30%
2006,New Hampshire,14.30%,4.40%,29.70%,51.60%
2006,New Jersey,12.30%,5.70%,24.10%,57.90%
2006,New Mexico,13.80%,6.40%,24.70%,55.10%
2006,New York,13.40%,4.90%,24.50%,57.30%
2006,North Carolina,17%,5.10%,24.10%,53.90%
2006,North Dakota,15.60%,3.90%,24.10%,56.40%
2006,Ohio,16.80%,5.60%,24.30%,53.30%
2006,Oklahoma,18.90%,6.20%,23.70%,51.20%
2006,Oregon,13.60%,4.80%,25.70%,55.80%
2006,Pennsylvania,16.60%,4.90%,25.50%,53%
2006,Puerto Rico,7.70%,4.80%,16.80%,70.70%
2006,Rhode Island,14.90%,4.30%,28.80%,52%
2006,South Carolina,16.50%,5.80%,24.50%,53.30%
2006,South Dakota,14.70%,5.60%,24.80%,54.80%
2006,Tennessee,18.40%,4.10%,23.50%,53.90%
2006,Texas,12.60%,5.30%,21.70%,60.40%
2006,Utah,7.10%,2.70%,16.60%,73.60%
2006,Vermont,14%,4%,30.90%,51.10%
2006,Virginia,14.70%,4.60%,25.20%,55.50%
2006,Virgin Islands,5.80%,3.10%,13.10%,78%
2006,Washington,12.30%,4.70%,26.40%,56.60%
2006,West Virginia,21.30%,4.50%,24.70%,49.60%
2006,Wisconsin,15.20%,5.60%,26%,53.20%
2006,Wyoming,16.40%,5.20%,24.90%,53.50%
2005,Alabama,18.80%,6%,20.90%,54.30%
2005,Alaska,18.80%,6.20%,23.80%,51.20%
2005,Arizona,13.70%,6.60%,25.50%,54.30%
2005,Arkansas,18.10%,5.40%,24.90%,51.60%
2005,California,9.80%,5.30%,23.30%,61.50%
2005,Colorado,13.50%,6.30%,24.80%,55.40%
2005,Connecticut,12.40%,4.10%,29.40%,54.10%
2005,Delaware,15.50%,5.20%,27.20%,52.10%
2005,District of Columbia,11.60%,8.50%,21.50%,58.50%
2005,Florida,15.20%,6.50%,26.70%,51.60%
2005,Georgia,16.40%,5.80%,21.90%,56%
2005,Hawaii,12.10%,4.90%,26.20%,56.80%
2005,Idaho,13.30%,4.60%,22.70%,59.30%
2005,Illinois,14.20%,5.70%,24%,56.10%
2005,Indiana,20.80%,6.40%,22.90%,49.80%
2005,Iowa,16.10%,4.30%,24.80%,54.80%
2005,Kansas,13.60%,4.20%,24.40%,57.80%
2005,Kentucky,23.50%,5.20%,24%,47.30%
2005,Louisiana,16.40%,6.10%,21%,56.50%
2005,Maine,15.90%,4.90%,30.10%,49.10%
2005,Maryland,13.40%,5.50%,22.90%,58.30%
2005,Massachusetts,13.50%,4.60%,27.50%,54.50%
2005,Michigan,16.70%,5.40%,26%,52%
2005,Minnesota,14.90%,5.10%,28.70%,51.20%
2005,Mississippi,18.60%,5.10%,20.90%,55.50%
2005,Missouri,18.50%,4.90%,24.20%,52.40%
2005,Montana,14.50%,4.70%,28.50%,52.30%
2005,Nationwide (States and DC),15.30%,5.30%,24.80%,54%
2005,"Nationwide (States, DC, and Territories)",15.30%,5.20%,24.40%,54.10%
2005,Nebraska,16.10%,5.20%,22.70%,56.10%
2005,Nevada,16.60%,6.50%,24%,52.90%
2005,New Hampshire,15.40%,5%,29.50%,50.10%
2005,New Jersey,12.80%,5.20%,25.50%,56.50%
2005,New Mexico,14.60%,6.90%,24.40%,54.10%
2005,New York,14.60%,5.90%,25.60%,54%
2005,North Carolina,17.10%,5.50%,23.60%,53.80%
2005,North Dakota,15%,5.20%,25.50%,54.40%
2005,Ohio,17.60%,4.80%,25.80%,51.90%
2005,Oklahoma,19%,6%,24%,50.90%
2005,Oregon,13.40%,5.10%,27.40%,54%
2005,Pennsylvania,17.90%,5.70%,25.40%,51%
2005,Puerto Rico,7.90%,5.20%,16.90%,70%
2005,Rhode Island,15.30%,4.40%,28.80%,51.40%
2005,South Carolina,17%,5.50%,24.40%,53.10%
2005,South Dakota,13.80%,6%,25.40%,54.80%
2005,Tennessee,20.40%,6.30%,22%,51.30%
2005,Texas,13.20%,6.80%,21%,59%
2005,Utah,8.50%,3%,16%,72.50%
2005,Vermont,14.40%,4.90%,30.80%,50%
2005,Virginia,15.30%,5.30%,24.10%,55.20%
2005,Virgin Islands,5.30%,2.80%,12.80%,79.10%
2005,Washington,12.50%,5%,27.30%,55.10%
2005,West Virginia,21.30%,5.40%,24.30%,49%
2005,Wisconsin,15.90%,4.90%,26.10%,53.20%
2005,Wyoming,16.30%,5.10%,26.70%,51.90%
2004,Alabama,18.70%,6.10%,20.90%,54.30%
2004,Alaska,16.40%,8.50%,24%,51.20%
2004,Arizona,13.50%,5.10%,24.50%,57%
2004,Arkansas,19.40%,6.20%,24.70%,49.80%
2004,California,10%,4.70%,24.20%,61.10%
2004,Colorado,13.80%,6.20%,24.40%,55.60%
2004,Connecticut,13.20%,4.90%,30%,51.90%
2004,Delaware,18.80%,5.60%,25.20%,50.50%
2004,District of Columbia,12.50%,8.40%,19.20%,59.90%
2004,Florida,14.60%,5.70%,25.80%,53.90%
2004,Georgia,15%,5%,20.90%,59.10%
2004,Idaho,13.40%,4.10%,23.40%,59.20%
2004,Illinois,15.40%,6.80%,21.50%,56.20%
2004,Indiana,19.50%,5.30%,22.60%,52.50%
2004,Iowa,16.30%,4.60%,21.40%,57.80%
2004,Kansas,15.30%,4.50%,21.70%,58.50%
2004,Kentucky,23%,4.50%,20.40%,52.10%
2004,Louisiana,16.90%,6.60%,20%,56.50%
2004,Maine,17%,3.90%,31.30%,47.80%
2004,Maryland,14.60%,5%,23%,57.50%
2004,Massachusetts,13.70%,4.80%,26.90%,54.60%
2004,Michigan,17.20%,6.10%,25.20%,51.60%
2004,Minnesota,15.20%,5.50%,26.80%,52.50%
2004,Mississippi,18.10%,6.50%,19.30%,56.20%
2004,Missouri,18.50%,5.60%,24.20%,51.70%
2004,Montana,15.80%,4.60%,25.10%,54.50%
2004,Nationwide (States and DC),15.80%,5.40%,24.10%,54.60%
2004,"Nationwide (States, DC, and Territories)",15.60%,5.40%,24%,55%
2004,Nebraska,14.90%,5.40%,21.20%,58.60%
2004,Nevada,16.50%,6.80%,24.40%,52.30%
2004,New Hampshire,16.50%,5.10%,28.50%,49.80%
2004,New Jersey,13%,5.80%,24.40%,56.80%
2004,New Mexico,13.20%,7.10%,24.10%,55.60%
2004,New York,14.20%,5.70%,24.20%,55.90%
2004,North Carolina,17.60%,5.50%,21.20%,55.60%
2004,North Dakota,14.80%,5.10%,23.60%,56.50%
2004,Ohio,20.80%,5%,22.10%,52%
2004,Oklahoma,19.90%,6.20%,22.50%,51.40%
2004,Oregon,14.30%,5.80%,24.70%,55.30%
2004,Pennsylvania,17.50%,5.30%,23.90%,53.40%
2004,Puerto Rico,8.20%,4.40%,15.20%,72.20%
2004,Rhode Island,15.80%,5.50%,28.80%,49.90%
2004,South Carolina,18%,6.40%,21.90%,53.80%
2004,South Dakota,14.10%,6.30%,23.60%,56%
2004,Tennessee,21.50%,4.60%,22.20%,51.70%
2004,Texas,13.60%,6.90%,20.20%,59.30%
2004,Utah,7.80%,2.70%,15.80%,73.80%
2004,Vermont,15%,5%,30.60%,49.40%
2004,Virginia,15.90%,5%,23.30%,55.80%
2004,Virgin Islands,5.90%,3.50%,9.90%,80.70%
2004,Washington,14%,5.30%,25.30%,55.50%
2004,West Virginia,21.80%,5.10%,25.10%,48%
2004,Wisconsin,16.50%,5.40%,24.30%,53.80%
2004,Wyoming,16.50%,5.20%,24.90%,53.40%
2003,Alabama,19.70%,5.70%,23.90%,50.80%
2003,Alaska,19.30%,7%,26.10%,47.70%
2003,Arizona,15.40%,5.50%,26.20%,53%
2003,Arkansas,20.50%,4.20%,25.40%,49.80%
2003,California,11.30%,5.50%,25.20%,58%
2003,Colorado,13.80%,4.70%,27.20%,54.20%
2003,Connecticut,13.90%,4.70%,31.20%,50.20%
2003,Delaware,16.90%,5%,28.10%,50%
2003,District of Columbia,13.90%,8.10%,22.20%,55.80%
2003,Florida,17.40%,6.50%,26.80%,49.30%
2003,Georgia,16.50%,6.20%,21.70%,55.60%
2003,Guam,26.30%,7.80%,14.30%,51.70%
2003,Hawaii,14.10%,3.20%,24.10%,58.60%
2003,Idaho,15%,4%,23.50%,57.60%
2003,Illinois,17.10%,6.30%,24.40%,52.20%
2003,Indiana,21.10%,5%,24.40%,49.50%
2003,Iowa,16.20%,5.40%,24.50%,53.80%
2003,Kansas,16.30%,4.10%,23%,56.60%
2003,Kentucky,26.80%,4%,22.50%,46.70%
2003,Louisiana,20.40%,6.20%,20.70%,52.70%
2003,Maine,19.70%,3.90%,31.10%,45.20%
2003,Maryland,15.20%,4.90%,23.70%,56.20%
2003,Massachusetts,14.50%,4.60%,31%,49.90%
2003,Michigan,20.70%,5.40%,25.80%,48.10%
2003,Minnesota,15.90%,5.20%,28.30%,50.60%
2003,Mississippi,19.70%,5.80%,20.70%,53.80%
2003,Missouri,23.10%,4.10%,24.30%,48.50%
2003,Montana,14.80%,5.10%,28.40%,51.60%
2003,Nationwide (States and DC),16.90%,5.10%,25.20%,52%
2003,"Nationwide (States, DC, and Territories)",16.70%,5.10%,25.20%,52.10%
2003,Nebraska,16%,5.30%,24%,54.70%
2003,Nevada,20.30%,4.90%,25.20%,49.70%
2003,New Hampshire,17%,4.20%,31%,47.80%
2003,New Jersey,14%,5.40%,26.30%,54.30%
2003,New Mexico,15.80%,6.20%,25.90%,52.10%
2003,New York,16.50%,5.10%,25.40%,53%
2003,North Carolina,18.80%,6%,23.20%,52%
2003,North Dakota,16.10%,4.40%,25.60%,53.90%
2003,Ohio,19.50%,5.70%,23.80%,51%
2003,Oklahoma,20.30%,4.80%,22.10%,52.70%
2003,Oregon,15.80%,5.20%,26.70%,52.40%
2003,Pennsylvania,20.20%,5.30%,25.20%,49.40%
2003,Puerto Rico,8.90%,4.60%,17.70%,68.80%
2003,Rhode Island,17.20%,5.10%,29.10%,48.50%
2003,South Carolina,19.60%,5.90%,23%,51.50%
2003,South Dakota,16.40%,6.30%,25.30%,52%
2003,Tennessee,21.10%,4.50%,18.90%,55.40%
2003,Texas,15.60%,6.50%,21.60%,56.30%
