Year,State,Smoke everyday,Smoke some days,Former smoker,Never smoked
2003,Utah,8.60%,3.30%,16.60%,71.50%
2003,Vermont,15.40%,4.20%,30.40%,50.10%
2003,Virginia,17.20%,4.80%,24%,54%
2003,Virgin Islands,7.90%,2%,13.60%,76.40%
2003,Washington,14.60%,5%,26.20%,54.20%
2003,West Virginia,22.60%,4.80%,25.80%,46.90%
2003,Wisconsin,17.30%,4.70%,27.30%,50.70%
2003,Wyoming,19.80%,4.80%,26.20%,49.10%
2002,Alabama,19.20%,5.20%,23.20%,52.40%
2002,Alaska,21.90%,7.40%,25.60%,45%
2002,Arizona,17.80%,5.60%,24.40%,52.20%
2002,Arkansas,21.50%,4.80%,24.90%,48.80%
2002,California,11.10%,5.30%,23.90%,59.60%
2002,Colorado,15.60%,4.70%,25.60%,54%
2002,Connecticut,14.40%,5%,30.40%,50.20%
2002,Delaware,19.50%,5.10%,26.30%,49%
2002,District of Columbia,13.40%,7%,20.40%,59.20%
2002,Florida,17.80%,4.20%,25.10%,52.90%
2002,Georgia,17.70%,5.60%,22.40%,54.30%
2002,Guam,24.80%,7.10%,15.50%,52.60%
2002,Hawaii,17.10%,3.90%,24.30%,54.70%
2002,Idaho,16.30%,4.30%,24.20%,55.20%
2002,Illinois,17.80%,5.10%,22.90%,54.30%
2002,Indiana,23%,4.70%,23.30%,49.10%
2002,Iowa,18.80%,4.30%,23.40%,53.40%
2002,Kansas,17.60%,4.50%,24.30%,53.60%
2002,Kentucky,29.10%,3.50%,22%,45.50%
2002,Louisiana,19%,4.90%,19.20%,57%
2002,Maine,19.60%,4%,33.40%,43.10%
2002,Maryland,16.30%,5.60%,23.70%,54.40%
2002,Massachusetts,14.40%,4.50%,29.10%,52%
2002,Michigan,19.30%,4.80%,27.10%,48.70%
2002,Minnesota,16.20%,5.50%,26.80%,51.40%
2002,Mississippi,21.40%,5.90%,20%,52.70%
2002,Missouri,22%,4.50%,25.50%,48%
2002,Montana,15.70%,5.50%,26.10%,52.70%
2002,Nationwide (States and DC),17.80%,5%,24.70%,52%
2002,"Nationwide (States, DC, and Territories)",17.80%,5%,24.40%,52.30%
2002,Nebraska,17.80%,4.90%,22.90%,54.40%
2002,Nevada,21.10%,5%,24.70%,49.20%
2002,New Hampshire,18.60%,4.60%,30.20%,46.60%
2002,New Jersey,14%,5%,26%,55%
2002,New Mexico,15%,6.20%,26%,52.80%
2002,New York,16.90%,5.40%,25%,52.70%
2002,North Carolina,21.20%,5.10%,24.10%,49.70%
2002,North Dakota,16.40%,5.10%,26.50%,52%
2002,Ohio,21.40%,5.20%,24.70%,48.70%
2002,Oklahoma,21.80%,4.80%,21.80%,51.60%
2002,Oregon,17.30%,5.10%,28.10%,49.40%
2002,Pennsylvania,19.50%,5.10%,25.70%,49.70%
2002,Puerto Rico,8.80%,4.40%,16.90%,69.80%
2002,Rhode Island,17.50%,4.90%,29.60%,48%
2002,South Carolina,21%,5.60%,22.60%,50.90%
2002,South Dakota,17.50%,5.10%,22.40%,55%
2002,Tennessee,22.90%,4.90%,18.70%,53.60%
2002,Texas,16.60%,6.20%,20.90%,56.20%
2002,Utah,9.90%,2.80%,17.10%,70.10%
2002,Vermont,16.70%,4.40%,32.30%,46.50%
2002,Virginia,19.40%,5.30%,22.40%,53%
2002,Virgin Islands,7%,2.40%,12.10%,78.50%
2002,Washington,16.40%,5%,28.50%,50.10%
2002,West Virginia,23.80%,4.70%,24.20%,47.40%
2002,Wisconsin,18.50%,4.90%,27.30%,49.40%
2002,Wyoming,19.20%,4.40%,26.50%,49.80%
2001,Alabama,17.40%,6.50%,23.40%,52.80%
2001,Alaska,19%,7.20%,26.90%,46.90%
2001,Arizona,15.50%,6%,25.40%,53%
2001,Arkansas,20.10%,5.40%,23.60%,50.80%
2001,California,12.10%,5.10%,25.90%,56.90%
2001,Colorado,15.40%,6.90%,26%,51.70%
2001,Connecticut,14.90%,5.80%,28.90%,50.50%
2001,Delaware,19%,6%,25.40%,49.50%
2001,District of Columbia,12.20%,8.50%,23.30%,55.90%
2001,Florida,17.50%,4.90%,27.50%,50.10%
2001,Georgia,17.50%,6.10%,21.20%,55.10%
2001,Guam,26.50%,4.70%,11.80%,57%
2001,Hawaii,16.50%,4%,24%,55.50%
2001,Idaho,15.20%,4.40%,24.40%,56%
2001,Illinois,17.40%,6.30%,23.70%,52.50%
2001,Indiana,21.50%,5.90%,22.60%,50%
2001,Iowa,17%,5.10%,24.60%,53.20%
2001,Kansas,16.90%,5.40%,24.30%,53.50%
2001,Kentucky,26.20%,4.70%,23.60%,45.50%
2001,Louisiana,19%,5.60%,19.90%,55.40%
2001,Maine,18.20%,5.70%,31.90%,44.20%
2001,Maryland,15.30%,5.80%,24.70%,54.20%
2001,Massachusetts,14.80%,4.70%,29.90%,50.60%
2001,Michigan,19.70%,5.90%,25.70%,48.70%
2001,Minnesota,16.90%,5.30%,28.30%,49.50%
2001,Mississippi,19.60%,5.70%,21.10%,53.60%
2001,Missouri,20%,5.90%,24.50%,49.60%
2001,Montana,16.60%,5.40%,27.30%,50.80%
2001,Nationwide (States and DC),17.40%,5.70%,24.70%,51.30%
2001,"Nationwide (States, DC, and Territories)",17.40%,5.60%,24.70%,51.80%
2001,Nebraska,15.80%,4.40%,22.30%,57.40%
2001,Nevada,20.80%,6.10%,26.20%,46.90%
2001,New Hampshire,19%,5.10%,28.80%,47.10%
2001,New Jersey,15%,6.10%,26.20%,52.70%
2001,New Mexico,16.10%,7.70%,24.90%,51.20%
2001,New York,16.60%,6.60%,23.80%,53%
2001,North Carolina,21.30%,4.50%,23.80%,50.40%
2001,North Dakota,15.60%,6.50%,24.80%,53.10%
2001,Ohio,21.90%,5.80%,23.40%,49%
2001,Oklahoma,23.10%,5.60%,21.80%,49.50%
2001,Oregon,15%,5.50%,28.70%,50.90%
2001,Pennsylvania,18.90%,5.60%,24.20%,51.30%
2001,Puerto Rico,8%,4.50%,17%,70.50%
2001,Rhode Island,17.60%,6.30%,28.90%,47.30%
2001,South Carolina,19.30%,6.70%,21.30%,52.60%
2001,South Dakota,16.60%,5.80%,25.20%,52.50%
2001,Tennessee,19.70%,4.70%,19.10%,56.60%
2001,Texas,15.50%,6.90%,20.70%,56.90%
2001,Utah,9.10%,4.10%,17.10%,69.70%
2001,Vermont,16.90%,5.50%,30%,47.60%
2001,Virginia,17.90%,4.70%,24.70%,52.80%
2001,Virgin Islands,6.90%,2.70%,12.60%,77.80%
2001,Washington,16.40%,6%,27.60%,49.90%
2001,West Virginia,23.50%,4.60%,24.70%,47.10%
2001,Wisconsin,18.20%,5.40%,28.70%,47.80%
2001,Wyoming,17.30%,4.90%,26%,51.90%
2000,Alabama,19.30%,5.90%,24%,50.80%
2000,Alaska,18.60%,6.40%,28.10%,46.80%
2000,Arizona,13.50%,5.20%,21.70%,59.70%
2000,Arkansas,19.90%,5.20%,24.50%,50.40%
2000,California,12.10%,5.10%,26%,56.70%
2000,Colorado,15%,5%,26.20%,53.80%
2000,Connecticut,15.30%,4.60%,27.80%,52.30%
2000,Delaware,18.60%,4.20%,23.90%,53.20%
2000,District of Columbia,13.90%,7%,22%,57.10%
2000,Florida,17.70%,5.50%,27.40%,49.40%
2000,Georgia,18.40%,5.10%,22.70%,53.80%
2000,Hawaii,15.80%,3.90%,24.20%,56.20%
2000,Idaho,16.90%,5.40%,24.60%,53.10%
2000,Illinois,16.20%,6.20%,22.60%,55.10%
2000,Indiana,22.40%,4.60%,22.60%,50.50%
2000,Iowa,18.30%,4.90%,23.10%,53.70%
2000,Kansas,16.90%,4.20%,23.60%,55.40%
2000,Kentucky,26.80%,3.70%,23%,46.50%
2000,Louisiana,18.60%,5.50%,19.50%,56.50%
2000,Maine,20.70%,3.10%,29.90%,46.30%
2000,Maryland,15.20%,5.30%,23.50%,56%
2000,Massachusetts,15.30%,4.70%,28.20%,51.90%
2000,Michigan,19.10%,5%,25.40%,50.40%
2000,Minnesota,15.20%,4.50%,23.10%,57.10%
2000,Mississippi,18.80%,4.70%,20.50%,56%
2000,Missouri,22.60%,4.60%,24.70%,48.10%
2000,Montana,15.90%,2.90%,29.80%,51.40%
2000,Nationwide (States and DC),17.70%,5.10%,24.30%,52.30%
2000,"Nationwide (States, DC, and Territories)",17.60%,5.10%,24.30%,52.60%
2000,Nebraska,16.50%,4.80%,24.30%,54.50%
2000,Nevada,22%,7.10%,26.70%,44.30%
2000,New Hampshire,19.70%,5.60%,29.70%,45%
2000,New Jersey,14.80%,6.20%,22.40%,56.60%
2000,New Mexico,16.90%,6.60%,25.80%,50.60%
2000,New York,15.90%,5.70%,25.60%,52.90%
2000,North Carolina,20.70%,5.40%,24.30%,49.60%
2000,North Dakota,17.50%,5.80%,23.40%,53.40%
2000,Ohio,21.10%,5.10%,23.20%,50.60%
2000,Oklahoma,19.80%,3.50%,19.30%,57.40%
2000,Oregon,15.30%,5.40%,28.30%,50.90%
2000,Pennsylvania,19.30%,5.10%,24.50%,51.10%
2000,Puerto Rico,9.20%,3.90%,15.20%,71.60%
2000,Rhode Island,18.30%,5.10%,26.70%,49.90%
2000,South Carolina,18.80%,6.20%,21.90%,53.20%
2000,South Dakota,16.80%,5.10%,24.60%,53.50%
2000,Tennessee,21.60%,4%,22.20%,52.10%
2000,Texas,15.40%,6.50%,21.90%,56.20%
2000,Utah,9.60%,3.30%,18.40%,68.80%
2000,Vermont,16.50%,4.90%,30%,48.50%
2000,Virginia,16.10%,5.30%,23.30%,55.30%
2000,Washington,14.80%,5.90%,28.80%,50.50%
2000,West Virginia,23.10%,3%,25.30%,48.50%
2000,Wisconsin,18.10%,6%,27.10%,48.80%
2000,Wyoming,18.20%,5.60%,25.10%,51.10%
1999,Alabama,18.10%,5.30%,24.20%,52.30%
1999,Alaska,19.20%,8.10%,25.70%,47%
1999,Arizona,17.90%,2.20%,17.80%,62.10%
1999,Arkansas,22.60%,4.60%,23.10%,49.70%
1999,California,12.50%,6.20%,26.40%,54.90%
1999,Colorado,17.50%,4.90%,25.80%,51.70%
1999,Connecticut,17.50%,5.30%,25.30%,51.90%
1999,Delaware,20.70%,4.80%,23.90%,50.60%
1999,District of Columbia,13.40%,7.10%,16.10%,63.30%
1999,Florida,16.30%,4.30%,26.80%,52.60%
1999,Georgia,18.30%,5.40%,22.50%,53.70%
1999,Hawaii,14.40%,4.10%,22.90%,58.60%
1999,Idaho,16%,5.50%,24.30%,54.20%
1999,Illinois,19.80%,4.50%,23.80%,51.90%
1999,Indiana,22.50%,4.50%,22%,51%
1999,Iowa,18.90%,4.60%,24.60%,51.90%
1999,Kansas,18.10%,3%,22.50%,56.40%
1999,Kentucky,25.60%,4.20%,23.20%,47.10%
1999,Louisiana,18.70%,4.80%,20.70%,55.80%
1999,Maine,19.80%,3.50%,29.50%,47.20%
1999,Maryland,15.50%,4.80%,24.20%,55.50%
1999,Massachusetts,15.20%,4.10%,25.80%,55%
1999,Michigan,19.50%,5.60%,23.60%,51.30%
1999,Minnesota,15.10%,4.40%,20%,60.50%
1999,Mississippi,18.50%,4.40%,20.30%,56.80%
1999,Missouri,22.70%,4.30%,24.70%,48.20%
1999,Montana,16%,4.20%,27.70%,52.10%
1999,Nationwide (States and DC),18%,4.80%,24%,52.40%
1999,"Nationwide (States, DC, and Territories)",18%,4.80%,24%,52.50%
1999,Nebraska,18.20%,5%,22.10%,54.70%
1999,Nevada,24.30%,7.20%,29%,39.50%
1999,New Hampshire,18%,4.30%,29%,48.70%
1999,New Jersey,14.60%,6%,21.30%,58.10%
1999,New Mexico,16.40%,6%,24.60%,52.90%
1999,New York,17%,4.80%,23.10%,55.10%
1999,North Carolina,21%,4.20%,23.20%,51.60%
1999,North Dakota,17%,5.10%,24.70%,53.10%
1999,Ohio,23.60%,4%,24%,48.40%
1999,Oklahoma,22.40%,2.80%,18.70%,56.10%
1999,Oregon,16.10%,5.40%,28.10%,50.50%
1999,Pennsylvania,18.40%,4.70%,23.30%,53.60%
1999,Puerto Rico,9.70%,4%,15.30%,71%
1999,Rhode Island,17.80%,4.40%,25.60%,52.20%
1999,South Carolina,18%,5.60%,20.40%,56%
1999,South Dakota,17.60%,4.80%,25.10%,52.40%
1999,Tennessee,21.90%,2.90%,20.70%,54.40%
1999,Texas,15%,7.50%,23.30%,54.30%
1999,Utah,10.30%,3.70%,17.30%,68.80%
1999,Vermont,16.90%,4.80%,26.70%,51.60%
1999,Virginia,17%,4.30%,25.30%,53.30%
1999,Washington,17%,5.30%,26.80%,50.80%
1999,West Virginia,23.80%,3.30%,23.80%,49%
1999,Wisconsin,17.90%,5.80%,28.60%,47.70%
1999,Wyoming,19.10%,4.80%,24.90%,51.20%
1998,Alabama,19.40%,5.20%,21.50%,53.90%
1998,Alaska,19.80%,6.30%,25.40%,48.40%
1998,Arizona,19.80%,2.10%,17.30%,60.90%
1998,Arkansas,22.20%,3.70%,24.20%,49.90%
1998,California,13.60%,5.60%,26.20%,54.60%
1998,Colorado,17.10%,5.70%,24.30%,52.90%
1998,Connecticut,15.30%,5.60%,28.20%,50.90%
1998,Delaware,20.70%,3.70%,24.50%,51%
1998,District of Columbia,15.10%,6.60%,17%,61.30%
1998,Florida,18%,4%,26.10%,51.90%
1998,Georgia,19.70%,3.90%,21.90%,54.50%
1998,Hawaii,15.80%,3.70%,26.10%,54.40%
1998,Idaho,15.80%,4.50%,25.20%,54.60%
1998,Illinois,17%,6.10%,25%,51.90%
1998,Indiana,20.70%,5.30%,26%,48%
1998,Iowa,18.30%,5.10%,23.70%,53%
1998,Kansas,17.40%,3.70%,21.80%,57.10%
1998,Kentucky,28%,2.80%,22.90%,46.30%
1998,Louisiana,20.50%,5%,19.80%,54.70%
1998,Maine,19.40%,2.90%,31.30%,46.40%
1998,Maryland,16.70%,5.70%,24.20%,53.40%
1998,Massachusetts,16.60%,4.30%,28%,51.10%
1998,Michigan,22.60%,4.80%,25.40%,47.20%
1998,Minnesota,13.30%,4.70%,18.60%,63.40%
1998,Mississippi,19.10%,5%,21.90%,54%
1998,Missouri,22.30%,4%,23.70%,50%
1998,Montana,18.50%,2.90%,26.70%,51.80%
1998,Nationwide (States and DC),18.50%,4.50%,24.30%,52%
1998,"Nationwide (States, DC, and Territories)",18.50%,4.60%,24.30%,52.20%
1998,Nebraska,17.40%,4.60%,24.40%,53.50%
1998,Nevada,23.60%,6.70%,24%,45.60%
1998,New Hampshire,18.20%,5%,28.50%,48.20%
1998,New Jersey,15.20%,3.90%,26.40%,54.50%
1998,New Mexico,16.20%,6.40%,24.30%,53.20%
1998,New York,18.40%,5.70%,24.30%,51.60%
1998,North Carolina,20.50%,4.20%,23.40%,51.90%
1998,North Dakota,17%,3%,28.20%,51.80%
1998,Ohio,21.60%,4.50%,23.60%,50.30%
1998,Oklahoma,20.20%,3.60%,19.60%,56.50%
1998,Oregon,16.30%,4.80%,27.40%,51.60%
1998,Pennsylvania,19.40%,4.40%,22.90%,53.30%
1998,Puerto Rico,10.10%,5.20%,16.80%,67.90%
1998,Rhode Island,18.20%,4.40%,29%,48.40%
1998,South Carolina,19.60%,5.10%,20.70%,54.60%
1998,South Dakota,22%,5.20%,20.40%,52.40%
1998,Tennessee,22.70%,3.30%,21.50%,52.40%
1998,Texas,15.60%,6.30%,22.60%,55.50%
1998,Utah,10.50%,3.70%,18.70%,67.10%
1998,Vermont,18.60%,3.70%,28.60%,49.10%
1998,Virginia,18.10%,4.80%,23.20%,53.90%
1998,Washington,16.90%,4.50%,27.60%,51.10%
1998,West Virginia,24.90%,3.10%,23.80%,48.30%
1998,Wisconsin,18.70%,4.70%,29.40%,47.20%
1998,Wyoming,19%,3.90%,25.20%,52%
1997,Alabama,20.80%,3.90%,22%,53.30%
1997,Alaska,22.30%,4.20%,24.70%,48.80%
1997,Arizona,18.40%,2.70%,13.60%,65.30%
1997,Arkansas,24.80%,3.70%,20.20%,51.40%
1997,California,12.60%,5.90%,26.90%,54.60%
1997,Colorado,17%,5.50%,25.50%,51.90%
1997,Connecticut,17.20%,4.40%,29.10%,49.30%
1997,Delaware,22.30%,4.30%,26.50%,46.90%
1997,District of Columbia,11.80%,7%,15.80%,65.40%
1997,Florida,19.80%,3.80%,26.40%,50%
1997,Georgia,17.60%,4.80%,15.30%,62.30%
1997,Hawaii,14.30%,4.40%,26.40%,54.90%
1997,Idaho,15.60%,4.30%,24.30%,55.80%
1997,Illinois,17.80%,5.40%,25.80%,51%
1997,Indiana,21.70%,4.70%,23.50%,50.20%
1997,Iowa,18.70%,4.40%,24%,52.90%
1997,Kansas,18.30%,4.30%,19.40%,58%
1997,Kentucky,27.60%,3.10%,23.50%,45.80%
1997,Louisiana,19.20%,5.30%,21.90%,53.60%
1997,Maine,19.80%,2.90%,31%,46.30%
1997,Maryland,17.60%,2.90%,22.80%,56.80%
1997,Massachusetts,16.40%,4.10%,29.70%,49.80%
1997,Michigan,21.20%,4.80%,25%,48.90%
1997,Minnesota,16.70%,5.20%,22.40%,55.70%
1997,Mississippi,19%,4.10%,21.30%,55.60%
1997,Missouri,24.60%,4%,21.60%,49.70%
1997,Montana,18%,2.50%,26.60%,52.90%
1997,Nationwide (States and DC),19.10%,4.30%,24.30%,51.90%
1997,"Nationwide (States, DC, and Territories)",19.10%,4.30%,24.30%,52.10%
1997,Nebraska,18.50%,3.60%,22.70%,55.20%
1997,Nevada,23.40%,4.60%,25.40%,46.60%
1997,New Hampshire,20%,4.70%,31.30%,44%
1997,New Jersey,16.60%,4.70%,26.20%,52.40%
1997,New Mexico,15.50%,6.50%,25.30%,52.60%
1997,New York,19.10%,4%,23.70%,53.20%
1997,North Carolina,21%,4.90%,22.40%,51.80%
1997,North Dakota,19.70%,2.60%,24.40%,53.30%
1997,Ohio,23.20%,1.90%,22.70%,52.20%
1997,Oklahoma,21.40%,3.20%,19.10%,56.30%
1997,Oregon,16.20%,4.50%,30.40%,48.90%
1997,Pennsylvania,20%,4.20%,22.70%,53.10%
1997,Puerto Rico,9.40%,5%,15.70%,69.90%
1997,Rhode Island,19.70%,4.60%,26.70%,49%
1997,South Carolina,20.20%,3.20%,20%,56.60%
1997,South Dakota,18.80%,5.60%,25.80%,49.90%
1997,Tennessee,23.70%,3.30%,21.30%,51.70%
1997,Texas,16.20%,6.30%,20.30%,57.10%
1997,Utah,11.10%,2.60%,17.20%,69%
1997,Vermont,19.50%,3.80%,29.10%,47.70%
1997,Virginia,18.80%,5.60%,25.80%,49.80%
1997,Washington,18.60%,5.20%,26.90%,49.30%
1997,West Virginia,24.50%,2.90%,24.30%,48.20%
1997,Wisconsin,19.70%,3.50%,25.30%,51.50%
1997,Wyoming,19.50%,4.50%,25.40%,50.60%
1996,Alabama,17.60%,4.80%,21.50%,56.10%
1996,Alaska,21.70%,6%,26%,46.30%
1996,Arizona,19.90%,3.90%,25.10%,51.20%
1996,Arkansas,21.90%,3.40%,18%,56.70%
1996,California,13%,5.60%,25%,56.40%
1996,Colorado,16.70%,6.10%,24.20%,53.10%
1996,Connecticut,17.40%,4.40%,28.20%,50%
1996,Delaware,21%,3.30%,26.80%,49%
1996,District of Columbia,14.90%,5.60%,17.80%,61.70%
1996,Florida,18.10%,3.70%,30.70%,47.50%
1996,Georgia,17.30%,3%,14.20%,65.60%
1996,Hawaii,18.30%,4%,24.10%,53.70%
1996,Idaho,16.80%,4.40%,22.80%,56%
1996,Illinois,20.40%,4.40%,23.40%,51.80%
1996,Indiana,24.90%,3.70%,23.70%,47.60%
1996,Iowa,19.60%,4%,23.80%,52.60%
1996,Kansas,18.60%,3.50%,19.50%,58.40%
1996,Kentucky,27.90%,3.80%,23.20%,45.20%
1996,Louisiana,21.90%,4%,21.50%,52.70%
1996,Maine,22.60%,2.80%,27.80%,46.90%
1996,Maryland,17.90%,3%,23.40%,55.70%
1996,Massachusetts,18.40%,4.90%,30.40%,46.20%
1996,Michigan,21%,4.70%,25.90%,48.50%
1996,Minnesota,15.60%,5%,23.10%,56.30%
1996,Mississippi,19.70%,3.50%,21.10%,55.70%
1996,Missouri,22.60%,5.20%,24.70%,47.50%
1996,Montana,19.10%,2.60%,27%,51.30%
1996,Nationwide (States and DC),19.60%,4%,24%,52%
1996,"Nationwide (States, DC, and Territories)",19.50%,4%,23.80%,52.20%
1996,Nebraska,19.50%,2.60%,23.60%,54.30%
1996,Nevada,25.10%,3%,26.80%,45%
1996,New Hampshire,20.60%,4.20%,29.10%,46.10%
1996,New Jersey,17.80%,4.90%,24.70%,52.60%
1996,New Mexico,16.70%,6.20%,24.20%,53%
1996,New York,19.20%,4%,23.70%,53.10%
1996,North Carolina,21.90%,3.80%,23.10%,51.20%
1996,North Dakota,19.50%,3.90%,25.50%,51.20%
1996,Ohio,25.70%,2.70%,21.40%,50.20%
1996,Oklahoma,21.50%,2.50%,18.40%,57.50%
1996,Oregon,19.10%,4.30%,27.70%,48.90%
1996,Pennsylvania,20.30%,4.20%,23.20%,52.30%
1996,Puerto Rico,9.40%,5.10%,16%,69.50%
1996,Rhode Island,17.80%,4.70%,27.10%,50.40%
1996,South Carolina,21.40%,3%,20.20%,55.30%
1996,South Dakota,17.90%,2.80%,25.20%,54.10%
1996,Tennessee,25%,2.90%,19.90%,52.20%
1996,Texas,17%,5.90%,21.20%,55.90%
1996,Vermont,18.90%,5.20%,29.20%,46.70%
1996,Virginia,19.60%,5.20%,22.90%,52.30%
1996,Washington,19.10%,4.40%,26.80%,49.70%
1996,West Virginia,23.90%,2.80%,22.90%,50.50%
1996,Wisconsin,19.70%,5.20%,25.90%,49.20%
1996,Wyoming,20.10%,4.50%,25.10%,50.30%
1995,Alabama,21.90%,2.10%,21.10%,54.80%
1995,Alaska,22.30%,2.60%,27.20%,47.90%
1995,Arizona,20.30%,2.40%,25.60%,51.70%
1995,Arkansas,22.70%,2.30%,23.50%,51.50%
1995,California,12.70%,2.50%,28.20%,56.70%
1995,Colorado,17.90%,3.60%,27.40%,51.10%
1995,Connecticut,18.60%,2%,28.80%,50.70%
1995,Delaware,23%,2.30%,25.80%,48.90%
1995,Florida,20.30%,2.70%,28.50%,48.50%
1995,Georgia,18.40%,1.90%,18.10%,61.60%
1995,Hawaii,15.10%,2.50%,21.60%,60.90%
1995,Idaho,18%,1.60%,24.10%,56.20%
1995,Illinois,19.90%,2.90%,23.70%,53.40%
1995,Indiana,24.30%,2.70%,23%,50%
1995,Iowa,20.20%,2.90%,23.90%,53%
1995,Kansas,18.60%,3%,24.30%,54.10%
1995,Kentucky,24.90%,2.70%,22.30%,50.10%
1995,Louisiana,21.10%,4%,22.30%,52.70%
1995,Maine,22.20%,2.50%,27.20%,48.10%
1995,Maryland,18%,3.10%,20.60%,58.30%
1995,Massachusetts,18.80%,2.80%,30%,48.40%
1995,Michigan,21.50%,4.10%,28.30%,46.20%
1995,Minnesota,17.40%,2.90%,23.60%,56.10%
1995,Mississippi,20.50%,2.80%,20.80%,55.80%
1995,Missouri,21.90%,2.20%,27.10%,48.80%
1995,Montana,18.90%,2.20%,29.20%,49.80%
1995,Nationwide (States and DC),19.90%,2.60%,25.30%,51.60%
1995,"Nationwide (States, DC, and Territories)",19.90%,2.60%,25.30%,51.60%
1995,Nebraska,19.40%,2.40%,25.70%,52.50%
1995,Nevada,23.30%,2.50%,26.80%,47.40%
1995,New Hampshire,18.80%,2.30%,32.70%,46.20%
1995,New Jersey,15.30%,3.70%,25.30%,55.70%
1995,New Mexico,17.60%,3.10%,27.70%,51.70%
1995,New York,19.10%,2.20%,25.30%,53.40%
1995,North Carolina,23%,2.70%,22.60%,51.60%
1995,North Dakota,20.10%,2.50%,24.20%,53.20%
1995,Ohio,23.60%,2.20%,24%,50.20%
1995,Oklahoma,20.20%,1.30%,17.40%,61.20%
1995,Oregon,18.50%,3.20%,28.40%,49.90%
1995,Pennsylvania,20.40%,3.30%,28.30%,48%
1995,Rhode Island,21.30%,3.50%,29.20%,46%
1995,South Carolina,20.90%,2.50%,20.40%,56.10%
1995,South Dakota,19.80%,1.90%,24%,54.20%
1995,Tennessee,24.20%,1.90%,19.80%,54.10%
1995,Texas,19.90%,3.60%,23.70%,52.80%
1995,Vermont,18.90%,3.20%,31.50%,46.50%
1995,Virginia,18.70%,2.70%,25.20%,53.50%
1995,Washington,17.50%,2.40%,29.90%,50.20%
1995,West Virginia,23.70%,1.90%,23.30%,51.10%
1995,Wisconsin,18.20%,3.50%,27.60%,50.70%
1995,Wyoming,19.10%,2.90%,26.80%,51.20%
